科目区分,区分詳細,1年,2年,3年,4年,学期,曜日,時限,科目名,単位数
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (201),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (202),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (203),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (204),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (205),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (206),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (207),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (208),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (209),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Academic English I (210),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(301),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(302),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(303),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(304),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(305),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(306),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(307),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(308),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(309),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(310),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,1,Practical English Ⅲ(311),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (601),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (602),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (603),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (604),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (605),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (606),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (607),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English I (608),2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(501),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(502),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(503),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(504),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(505),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(506),1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Academic English Ⅰ(801)(再履修)【南大沢】,2
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,実践英語IIa(801)(再履修)【南大沢】,1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,実践英語IIc(801)(再履修)【南大沢】,1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English Ⅲ(801)(再履修)【南大沢】,1
英語・未修言語(基礎科目),-,1,1,0,0,前期,月,2,Practical English I (609),1
